timestamp,source_ip,source_port,destination_ip,destination_port,attack_type,protocol,severity,detected_patterns,session_id
2025-05-15T12:53:21.421484,127.0.0.1,49309,localhost,8001,sql_injection,HTTP,critical,SQL Injection - Classic SQL Statements,sqli-1747306401-127.0.0.1
2025-05-15T12:53:21.385987,127.0.0.1,49309,localhost,8001,sql_injection,HTTP,high,SQL Injection - Classic SQL Statements,sqli-1747306401-127.0.0.1
2025-05-15T12:53:19.318817,127.0.0.1,49307,localhost,8001,sql_injection,HTTP,critical,SQL Injection - Classic SQL Statements,sqli-1747306399-127.0.0.1
2025-05-15T12:53:19.282287,127.0.0.1,49307,localhost,8001,sql_injection,HTTP,high,SQL Injection - Classic SQL Statements,sqli-1747306399-127.0.0.1
2025-05-15T12:53:17.229179,127.0.0.1,49305,localhost,8001,sql_injection,HTTP,critical,SQL Injection - Classic SQL Statements,sqli-1747306397-127.0.0.1
2025-05-15T12:53:17.192143,127.0.0.1,49305,localhost,8001,sql_injection,HTTP,high,SQL Injection - Classic SQL Statements,sqli-1747306397-127.0.0.1
2025-05-15T12:53:15.140238,127.0.0.1,49303,localhost,8001,sql_injection,HTTP,critical,SQL Injection - Classic SQL Statements,sqli-1747306395-127.0.0.1
2025-05-15T12:53:15.103907,127.0.0.1,49303,localhost,8001,sql_injection,HTTP,high,SQL Injection - Classic SQL Statements,sqli-1747306395-127.0.0.1
2025-05-15T12:53:13.058461,127.0.0.1,49301,localhost,8001,sql_injection,HTTP,critical,SQL Injection - Classic SQL Statements,sqli-1747306393-127.0.0.1
2025-05-15T12:53:13.022565,127.0.0.1,49301,localhost,8001,sql_injection,HTTP,high,SQL Injection - Classic SQL Statements,sqli-1747306393-127.0.0.1
2025-05-15T12:52:02.551509,127.0.0.1,49285,localhost,8001,sql_injection,HTTP,critical,SQL Injection - UNION-Based,sqli-1747306322-127.0.0.1
2025-05-15T12:52:02.541947,127.0.0.1,49285,localhost,8001,sql_injection,HTTP,high,SQL Injection - UNION-Based,sqli-1747306322-127.0.0.1
2025-05-15T12:52:00.489360,127.0.0.1,49281,localhost,8001,sql_injection,HTTP,critical,SQL Injection - UNION-Based,sqli-1747306320-127.0.0.1
2025-05-15T12:52:00.452914,127.0.0.1,49281,localhost,8001,sql_injection,HTTP,high,SQL Injection - UNION-Based,sqli-1747306320-127.0.0.1
2025-05-15T12:51:58.378027,127.0.0.1,49279,localhost,8001,sql_injection,HTTP,critical,SQL Injection - Classic SQL Statements,sqli-1747306318-127.0.0.1
2025-05-15T12:51:58.367971,127.0.0.1,49279,localhost,8001,sql_injection,HTTP,high,SQL Injection - Classic SQL Statements,sqli-1747306318-127.0.0.1
2025-05-15T12:51:56.293362,127.0.0.1,49277,localhost,8001,sql_injection,HTTP,critical,SQL Injection - UNION-Based,sqli-1747306316-127.0.0.1
2025-05-15T12:51:56.193251,127.0.0.1,49277,localhost,8001,sql_injection,HTTP,high,SQL Injection - UNION-Based,sqli-1747306316-127.0.0.1
2025-05-15T12:51:54.131070,127.0.0.1,49274,localhost,8001,sql_injection,HTTP,critical,SQL Injection - UNION-Based,sqli-1747306314-127.0.0.1
2025-05-15T12:51:54.094698,127.0.0.1,49274,localhost,8001,sql_injection,HTTP,high,SQL Injection - UNION-Based,sqli-1747306314-127.0.0.1
2025-05-15T12:51:52.045196,127.0.0.1,49272,localhost,8001,sql_injection,HTTP,critical,SQL Injection - UNION-Based,sqli-1747306312-127.0.0.1
2025-05-15T12:51:52.008233,127.0.0.1,49272,localhost,8001,sql_injection,HTTP,high,SQL Injection - UNION-Based,sqli-1747306312-127.0.0.1
2025-05-15T12:51:49.938257,127.0.0.1,49270,localhost,8001,sql_injection,HTTP,critical,SQL Injection - UNION-Based,sqli-1747306309-127.0.0.1
2025-05-15T12:51:49.901619,127.0.0.1,49270,localhost,8001,sql_injection,HTTP,high,SQL Injection - UNION-Based,sqli-1747306309-127.0.0.1
2025-05-15T12:51:19.840797,127.0.0.1,49266,localhost,8002,machine_takeover,HTTP,critical,Malicious command execution,8220c9d12e726e306bc077a6809367b9
2025-05-15T12:51:01.347150,127.0.0.1,49249,localhost,8000,ddos,HTTP,medium,high_connection_rate,ddos-1747306261-127.0.0.1
2025-05-15T12:51:00.143612,127.0.0.1,49248,localhost,8000,ddos,HTTP,medium,high_connection_rate,ddos-1747306260-127.0.0.1
